Sno,Title,Experience & Benefits delivered
14,Alignment of IT Agreements with a Transfer Services Agreement (TSA),Whether it is a divestment merger or restructure within an organisation a TSA is often put in place to support the Change  As part of establishing an IT infrastructure for TSB in the UK I supported a review of 400 IT contracts from Banco Sabadell against the TSA to ensure the IT agreements would meet the contractual commitments between both parties and with the Suppliers
15,How to Set Up and Run an SRM Model in a Greenfield Environment,In 2021 I set up an SRM model for Tescos Goods not for resale division a Greenfield environment where suppliers were inconsistently managed or not managed at all by a Procurement team whose focus was on the predeal environment The project focused initially on supplier review with the Category owners  Procurement Managers supplier spend risk and consequent supplier segmentation into Tier 1 and Tier 2 suppliersFollowing this the focus moved to the implementation of a new consistent governance structure Supplier performance reporting supplier performance meetingbusiness review cadence content and attendees ongoing supplier management and monitoring including frequency of supplier review reports supplier summary reports and Executive review documents plus liaison with the suppliers themselves to ensure understanding and alignment The benefit to the client was a clear structured and consistent approach to the management of suppliers which ensured appropriate risks were managed and mitigated supplier performance was reported on and managed informing future decision making spend better controlled and relationships with key strategic suppliers improvedLonger term benefits included the ability to make informed decisions around rationalisation of the Supplier base directing spend to fewer key strategic suppliers and consequent advantages of free flow of ideas between parties innovation and further cost savings
16,Microsoft Enterprise Agreement Renewal,I have delivered Microsoft contract renewals in private and public sector for varying organisations and sectors Through the work I have done towards these renewals I have ensured the organisation renews their contracts on time and with the best licensing outcomes
17,Expert Procurement in Cybersecurity Transformation,Led cybersecurity procurement for Natura  Co establishing a robust Procurement function with a 37m annual budget and managing 32 RFPsAchieved a 40 cost saving in managed services for intruder threat and asset management at SGN through strategic negotiationsWorked closely with CISOs to align Procurement strategies with organizational cybersecurity goals enhancing the security posture of large multinational corporations
18,Expert Procurement of ERP Systems, Led a full ERP system implementation at Brunel University assessing options from Unit 4 and Oracle Managed a 20M PeopleSoft implementation at Hays coordinating with key vendors like Newbury Consulting PwC IBM and TCS Negotiated significant deals with Oracle at Sainsburys and managed contract signoffs with Infosys for implementation services Directed commercial aspects of Project Cleo at BA postmerger securing software licenses for a global shared facility and managing major agreements with Microsoft and Oracle including compliance strategies and thirdparty support considerations
19,Expert Procurement Support for Strategic Software Licenses, Accenture  Bank of Ireland Secured competitive pricing on renewals with ServiceNow Mulesoft and Aptitude plus savings with SoftwareONE WPP Created global deal pipelines with Atlassian Citrix Salesforce and VMWare TP ICAP  SGN Negotiated significant savings on VMware ELA and cybersecurity managed services Retail Sector Waitrose John Lewis Debenhams MS Managed software negotiations for retail operations achieving substantial savings and efficient contract signoffs Vodafone  Aviva Delivered over 45M in savings through strategic software renewals and implemented key IT Procurement strategies Professional Services Hays Reuters BP Led RFPs and negotiated software agreements identifying over 1M in savings and managing complex procurement projects QinetiQ Administered major software agreements and managed companywide licensing for critical IT tools
20,Procurement Support for Strategic Transformation Programmes, BA and Iberia Merger Managed software license integration for a global shared facility involving major cloud solutions Macquarie Bank  Wales and West Utilities Led procurement for a 20M SAP project securing 2M in savings through strategic negotiations BP Global IT Projects Oversaw 15B IT spend achieving 12M savings across critical IT infrastructure projects and server migrations
21,Public Sector IT Reseller Model,I created a preferred reseller model for a large public sector organisation which streamlined processes to speed up buying practices  This reduced risk and delivered additional savings
22,Expert Support on Public Sector Procurement Process, Delivered successfully a wide range of procurement projects from new hospital build and IT systems to healthcare consultancy and education services for public sector organisations across the NHS central and local government ensuring compliance with public sector procurement legislation Delivered Procurement governance review in central government department ensuring compliance with HM Treasury and Cabinet Office business case approval processes Support into bid team responding to public sector tender ensuring that the team understood the tender requirements and process  Led supplier webinars on how to respond to public sector tenders with positive feedback received Led internal stakeholder webinars on procurement governance frameworks with positive feedback received
23,Expert Procurement Support for Compliance with Public Contracts Regulations, Audited and updated Procurement documentation for large NHS organisation and a not for profit organisation supporting central government Led full business case development working closely with HM Treasury for new hospital build ensuring required governance in place for successful business case approval Delivered Procurement governance review in central government department ensuring compliance with HM Treasury and Cabinet Office business case approval processes  Delivered training for teams and wider internal stakeholder groups on Procurement governance including compliance with all required approval processes
24,Procurement Strategy for Management Consultancies,Key Market Suppliers Strategic Advisory  Mckinsey BCG Bain Finance Tax Audit  Accountancy Change  Transformation  EY  PWC KPMG Deloitte BDO Grant Thornton Miscellaneous  eg WiproCapco CapGemini IBM Chinasoft Infosys Accenture PA ConsultingDelivered 22m cost avoidance for a Global Bank for Fraud  risk consultancy services covering payment solutions by reducing the scope of services Consultants hours number of supplier resources and negotiating supplier investment in the projectDelivered 1m cost avoidance for a Global Bank for cyber security consultancy services through utiising low cost sourcing countries reducing the scope of services and negotiating supplier investment in the projectLeadership of a global transformation programme for a global FMCGTransportation provider covering 100m global Consultancy spend reengineering sourcing  category strategy vendor management strategy Influenced CFO to introduce new centralised Cost Board  demand challenge process Negotiated a oneoff fixed price fixed capacity commercial model for a c40m technology programme for a global Bank Delivered 20 programme benefit over and above the existing contract volume discountsCompleted market research for a global life Science business to identify a provider of supply chain optimisation consultancy to help optimise the utilisation of equipment to plant rice crops in India The challenge for the business was that rural Indian locations had a dearth of resource available to plant the rice crops as the elderly generations had retired and the younger generations had left to go to Universities and large corporates who had established in the major cities In addition the rice plants had to be planted within six hours of coming out of the companies own nursery before the yield started to degrade Consultancies identified capable of automating the optimisation of the planting equipment including  what if scenarios to cover various operational scenarios
25,Procurement of Employee Rewards Programs,Key Market SuppliersRewards Mercer Marsh SodexoPluxee Lumity benefits Solutions AoN Consulting Employee Assistance Health Hero Bupa Axa Health Assured Care First PPC WorldwideUnited Health Group ComPsychRewards Negotiated and implemented a new flexible benefits platform and associated product contracts on behalf of a UK Banks 8500 employees delivering the project to the agreed budget of 075mEmployee Assistance Programme Leadership of a global sourcing project for a global BioScience organisation to implement a new global EAP across 70 countries delivering 02m savings against the original 08m budget Established new global  regional vendor management governance structure with global supplier  
26,Fleet Procurement and Green Fleet/Decarbonisation Delivery,I wrote and delivered a Fleet Transformation strategy at a leading Facilities Management company covering 8000 commercial vehicles in the UK and 9 countries in Northern Europe reducing CO2 emissions by 12 and delivering 32m in cost savingsThis included renegotiations with the OEMs and ancillary suppliers rationalisation of leasing and fleet management suppliers streamlining and restructuring internal resources and focusing spend to fewer suppliers The Transformation Strategy and resultant new Fleet Policy ensured a consistent and centrally controlled pan European approach to OEM negotiations vehicle acquisition leasing company use and focused spend to fewer suppliers which resulted in significant cost savings It also delivered through rigorous analysis of vehicle usage reductions in CO2 emissions by targeting the use of electric vehicles where appropriate
27,Legal Services Procurement,Key Market suppliers Magic circle Law Firms  Allen  Overy Clifford Chance Freshfields Bruckhaus Deringer Linklaters Slaughter  May Silver Circle Law firms  Ashurst Bryan Cave Leighton Paisner Herbert Smith Freehills Macfarlanes Travers Smith Big 4  EY PWC Deloitte KPMG Miscellaneous NationalRegional firmsLeadership of a Groupwide transformation programme for a major UK Banks Mortgage Operations legal services spend 60m across the 5 separate Group business divisions Obtained Senior Executive buyin from all five divisions to a new Groupwide sourcing strategy  Group PSL and established a groupwide vendor management structure and internal Community of practice Delivered 5m annualised reduction reducing the number of approved panel firms from 43 to 25 in phase 1Delivered 500k per annum benefits against a spend of 4m for Scotland Remortgages through eAuction reducing the panel from 6 firms to 2  Implemented a new Professional Negligence panel working with General Counsel to simplify the end to end legal process  reducing average claim costs from 10k to 4k to save 250k per annum and number of firms from 7 to 3  
28,Strategic Contingent Workforce Procurement,Key Market Suppliers  MSPRPO Randstad Sourceright Kelly OCG Hays Manpower GroupTapfin Guidant Global VMS SAP Fieldglass  Beeline Gatekeeper OracleMapped the current AsIs process and stakeholder map by skillset  country for a Global BioScience company spend 140m per annum and presented to the HR Transformation Board a comprehensive supply market analysis to feed into the overall Global Recruitment Process Outsourcing programme  Lead role in implementing a new Hybrid MSP recruitment solution permanent recruitment reducing average margin by 9 saving 600k per annum reducing agencies from 90 to 6 including 2 hybrid MSP agenciesInfluenced the HR Director of a Global Aerospace Defense organisation to establish a Cost Management Board centrally coordinate and manage the global temporary contingent labour sourcing strategy to govern 182m spend Target savings of 15 through implementing an MSP solution
29,Procurement support for Business Process Outsourcing (BPO),Key Market SuppliersBPO  Genpact Wipro GEP Worldwide TechMahindra WNS HCLPayroll  ADP Moorepay Mitrefinch Payescape MHR IRIS FMP SD Worx Ceridian TMF Group ActivPayrollAviation Ground Support Equipment Maintenance Ryder Plc TCR GroupLed a market review for a Global Healthcare provider of existing Procurement Operations  Commercial Sourcing outsourced offshore services Recommended and obtained approval for the future sourcing strategy with the Head of Procurement Transformation  Head of Commercial SourcingRenegotiated a 62m outsourced offshore contract for global claims and Accounts Payable services for a Global Healthcare provider achieving 869m 14 reduction in cost of service plus additional benefits valued at 35m Obtained approval from senior executive stakeholders across each inscope business area for the future sourcing strategy Procurement leadership of a global Payroll transformation programme for a Global technology Consulting business negotiating the contract with new outsourced provider to replace c12 individual incountry payroll suppliers reducing payroll costs by 15 Procurement management of a 25m per annum 10 year outsourced Ground Support Equipment maintenance contract for a Global commercial airline Implemented a joint new SRM strategy to include the airlines ramp operations teams Obtained approval for 100m new buy equipment to support the airlines UK airport locations including the new T5 operation 
30,Procurement of Clinical Research Services,Key Market suppliers IQVIA Syneos Health PPD Parexel LabCorp Part of a Global Pharmaceuticals Clinical Trial project team I was responsible for leading the sourcing of Patient Recruitment  Retention services for multiple clinical trials For Example negotiated cost savings of 262k including efficiencies gained by sourcing all clinical trials from one supplier  Reviewed legacy Clinical Research contracts for a Global Pharmaceutical organisation completing a gap analysis against existing contracting standards and then negotiated with the Clinical Research Organisations to update the legacy contracts to comply with appropriate contracting standards operationally commercially  legally negating contractual commercial and regulatory risk
31,Engineering & Technical Services Procurement - Aircraft Engine Maintenance,Key Market Suppliers  GE Rolls Royce Pratt  Whitney International Aero Engines IAE Honeywell Aerospace Responsible for negotiating and managing long term engine maintenance contracts for a Global Airlines fleet of Airbus V2500 Engines and Auxiliary Power units APUs Replaced spare engine stock strategy with Just in Time JIT leased engine strategy Procurement management of a 25m per annum 10 year outsourced Ground Support Equipment maintenance contract for a Global commercial airline Implemented a joint new SRM strategy to include the airlines ramp operations teams Obtained approval for 100m new buy equipment to support the airlines UK airport locations including the new T5 operation 
32,Procurement support for IT / ITO /xPO Outsourcing , 1m dollars avoided on postmerger integration of IT infrastructure US life insurer Finalised Transitional and Residual Services Agreements for fullservice to hybrid datacentre outsource operating model including hardware and software setup and associated contract treatments UK professional services firm Established new IT contractual suite for carveout and divestments focusing on enterprise software for end user computing and servers cyber security and software asset management UK automotive technology supplier asset management and mortgage serving operator Negotiated Design Build Operate contract with ITO partner for critical piece of national telecoms infrastructure focusing on steadystate versus change control contracting and value assurance  Key modules TechOps BusOps Sec Ops including SLA and KPI negotiations national broadband switching hub
33,Optimising Corporate Travel Management, 2 years of Travel Category Management at Heathrow Airport Limited 10000 staff Developed a Travel Management category strategy with recommendations on the direction of the category and development of the RFP Renewal and renegotiations of Corporate Travel Management contracts Identified and caught a rogue employee saving the company circa 50k of unauthorised bookings Full review of the corporate travel policy following COVID Experience of suppliers across Europe but mainly the UK Rates negotiations for Hotels Travel and MICE
34,ESG Programmes in Procurement,I have introduced and implemented ESG programs in a Financial Services environment with Tier 1 suppliers including the introduction of contractual clauses to existing suppliers as part of a mandatory exercise
35,Procurement Management of Corporate Travel Policy, I managed a domestic and corporate travel program for a major UK based FS insurance company including the management of two TMCs Travel Management Companies Negotiation of ratesprices with hotels airlines taxi services and management of corporate and employee risk  Working with a wide range of stakeholders including Csuite I rewrote the inherited Travel Policy which along with the negotiations with suppliers delivered significant cost savings and efficiencies whilst retaining service quality
36,Managing High-Value Public Sector Contracts in Procurement, I have managed 2 PPP and PFI high value public sector contracts whilst working for London Underground focusing on delivering consistent improvements in supplier performance managing and mitigating risk  ensuring performance failures were correctly attributed and ultimately delivering value to the travelling public I acted as the key interface between operational staff and the suppliers whilst ensuring the overall relationship with the suppliers was positive and consistently improving As is the case with complicated long term public contracts with multiple points of supplier contact it was incumbent upon me to focus on the key contractual areas and simplify the engagement process as far as was practicable and by doing this I was able to implement a streamlined governance model which enhanced collaboration with the suppliers to the benefit of LU and its customers
37,Implementation of a Contract Lifecycle Management Solution (e.g. Apttus), By using Apttus CLM solution updated supplier contract information details and uploaded relevant contracts this was with Equinix in the period April 21 to February 23 The contract compliance for the Client increased from 53 to 85 for Tier 1  Tier 2 suppliers For Sopra Steria 2021 set up processesdashboard reporting and monitoring commercial activities to benefit both buyer  seller as part of disposition of a part of a company At Survitec 2017 built a contract dashboard for all contracts with values commencement  termination dates  summary of contract scope At NTT 201314  provided Contract Management support to companys UK contracts by establishing ContractsNDA Register  compliance tracker for key customer contracts Client initially reluctant to implement a CLM Solution
38,Software Licensing when setting up a new Company or Corporate Entity,I have participated in the creation of a new Insurance business which involved being the lead representative from Procurement in the end to end process from supplier selection through to implementation of all core platforms operating in the business environment   The licensing models built into the agreements during the initial stages reduced the future costs of the company by a seven figure sum when they subsequently chose to grow and expand their business offerings
39,How to perform IT Contract Reviews,I have been involved in numerous contract reviews as part of transforming a business to deliver improvements and reduce costs  Each supplier agreement is different and the end decision will vary from confirming the agreement is acceptable to renegotiating the agreement to amend terms to deciding that it is appropriate to replace the Supplier and set up a process to manage them out of the business
40,Contract Drafting & Negotiation for IT Outsourced Services, Aviva Insurance 2023  Reviewing Framework Agreement  schedules in preparedness of outsourcing deal  working with client on managing documents Drafting  negotiation of schedules sending documents to relevant parties including external lawyers and managing document drafts  versions as well as storage CSI 2023  Working for an IT outsourcing business  Issuing MSA to Clients as a baseline template to negotiate  finalise terms of business Sopra Steria  202021  Reviewing  advising on draft Framework Agreement Schedules Call of Contract Schedules for an IT outsourcing deal Reviewing structure of Framework Agreement  Schedules negotiating terms with Partner  management of draft documents with version control Ensuring service descriptions service levels  financial penalties of customer contracts flow to end supplier Survitec 201719  Negotiated MSA terms  schedules on a large global IT Service outsourcing contract MSA focused on IT outsourcing including onboarding offshore specialist personnel 
41,Contracts Novation (Acquisition & Exit Planning) - Outsourced Services, Survitec 201719  Managed novation of contracts into Survitec Group following an acquisition IT contracts to the value of 45m transferred into the business DXC Technology 201617  Managed 3rd party contract novation 250 to Royal Mail Group on exit of an IT outsourcing contract Novating renewing  terminating IT contracts accordingly in liaising with new provider Reviewed terms cost and business requirements for novation Capita IT Services 201113  Managed incoming novation of contracts to Capita on an IT outsourcing contract for West Sussex City Council Reviewed terms of novation and requirements of business requiring novated contracts Capita Business Services 200910  Novation of contracts to Department of Education Held role of Contract Lead as part of Exit Planning
42,"Strategic Sourcing for Food, Pharma, Leisure, Retail & Telecoms Industries", Over 15 years of consulting experience with a significant focus on strategic sourcing in various highvalue sectors Demonstrated success in delivering fully implemented cost savings exceeding 21 of total spend for major brands in EMEA and the Far East Expertise in leading major supply chain improvement programmes delivering 14m EBIT contribution within the first 12 months for a newly acquired private equity backed business
43,Advice on Procurement Transformation and Outsourcing, Extensive experience leading Procurement operations and outsourcing projects in public services and private equity portfolio firms Proven track record in managing Procurement transformations for bluechip clients across various sectors including CPG Pharma Leisure Retail Property and Telecoms Successfully delivered cost savings and operational efficiencies in highstakes environments driving significant EBIT contributions and enhancing supplier performance
44,Insight on Sustainable Procurement and ESG Integration, Expertise in developing and executing sustainable Procurement practices that align with corporate sustainability goals and ESG criteria Experience working with diverse and underrepresented suppliers promoting ethical sourcing and fair trade practices Generated significant improvements in Procurement sustainability contributing to carbon footprint reduction and enhanced Corporate Social Responsibility
45,Advice on Complex Contract and Supplier Management Issues, Over a decade of experience in highlevel contract management and strategic supplier negotiations across global markets A strong track record of delivering savings and enhancing value in negotiations with major suppliers including achieving significant cost reductions and efficiency improvements Proven expertise in managing supplier relationships for Fortune 500 companies leading to improved contract terms reduced risk and enhanced supplier performance
46,"IT Digital Transformation incl Cloud, Enterprise software & CyberSecurity", Extensive experience leading IT Procurement and Digital Transformation initiatives including managing multimillionpound contracts for IT services Deep knowledge of the IT services market with exposure to a wide range of suppliers including major cloud service providers and software vendors Significant savings generated through effective negotiation and strategic sourcing of IT solutions underpinning broader digital transformation efforts
47,Guidance to Drive Global Supply Chain Optimisation for CPG and Pharma, Over 15 years of Procurement consultancy across highstakes sectors offering a blend of strategic sourcing and supply chain optimisation expertise Proven record of generating substantial savings through strategic reviews and renegotiations at a global scale Experience in diversifying supply chains with a mix of global boutique and diverse suppliers ensuring resilience and value
48,Insight on Risk Management for Outsourcing and BPO, Leadership in transitioning critical functions to offshoring partners with a keen focus on thirdparty risk management Expertise in establishing and managing outsourcing arrangements in highly regulated sectors ensuring compliance and operational integrity Successful delivery of Risk Management strategies that reduce exposure and enhance operational resilience
49,Guidance on Enhancing your Procurement Operating Model, Led significant Procurement transformations within global organisations driving change across policy process and technology domains Managed diverse Procurement teams and projects demonstrating a strong ability to align Procurement strategies with business goals Experience as an interim CPO across various organisations showcasing versatility and effectiveness in elevating Procurement functions
50,Global Hotel Rate Negotiations via e-Auction,Ran over over 20 separate eAuctions across 600 hotel properties in a twoweek period at Ericsson saving client 20 on their 80m annual hotel spend
51,Business Process Outsourcing Strategy, In 2010 following the integration of LTSB and HBOS outsourced Payroll Services under a transform and then run approach Contract worth 30m over 5 years covering 110000 employees  one of the largest Payroll outsourcing deals in the UKBetween 2016  2020 for LSEG Set up an Outsourced Managed Legal Service saving over 400k whilst allowing inhouse Legal to focus on higher value activity and accessing best in class Legal tools and technology Sourced Big 4 support to partner with Internal Audit on a multiyear cosource arrangement saving 180k Led the renewal of MSP contract by repositioning the vendor as a partner to LSEG as opposed to a process enabler The MSP moved from just running a business process to a role where they were the preferred Direct Sourcing partner helping drive cost efficiency under a risk reward model This led to cost savings of 38MSpecific supplier experience Alight Ceridian now DayForce Hays Randstad DLA Piper Radiant Law Deloitte EY RSM Grant Thornton CBRE JLL Mitie
52,IT Outsourcing for Application Development and Support,Between 20122013  ITO Category Manager at Lloyds Banking Group reporting to Group Head of IT Services Responsible for Group spend on offshore ITO 350M per annum Sourcing Lead for offshore ITO across all Tech Run and Change providing commercial and contractual advice and expertise and liaising with the Supplier Management and IT teams on relevant issues Sourcing and Commercial Lead on a highly strategic project which was on the agenda of the Group Executive Committee Worked directly with the Group CIO and IT Sourcing Director in driving sourcing strategy and shaping and leading on the commercial elements of the deal This involved accompanying the Group CIO and the IT Sourcing Director to India for commercial negotiations Initiative led to savings of 50m on the 350M spend base and consolidating the number of suppliers from four to two Lead in negotiating the details of the entire IT Outsourcing contract including supporting schedulesBetween 20192021  Global Head of Outsourcing Professional Services and Contingent Labour for LSEG Led  the successful repositioning of TCS as a strategic provider to the Group elevating the vendor from its historical position as a strategic provider to a single business division paving the way for the subsequent successful delivery of 35M 13 cost savings without any additional volume commitmentBetween 20192021  Global Head of Outsourcing Professional Services and Contingent Labour for LSEG Identified a significant IT Consulting vendor who were in fact a PSC subcontracting work to a further network of circa 30 PSCs delivering software development on critical market facing platforms Used IR35 to pitch a strategy to the Technology COO looking to broker a deal with the lead PSC to allow LSEG to hire the subcontract PSCs and bring them inhouse This was delivered successfully leading to significant mitigation of IR35 risk of operational risk and cost savings of 06M in year 1 and 12M pa thereafter Between 20192021  Global Head of Outsourcing Professional Services and Contingent Labour for LSEG Built out a team of 3 FTE of varying experience levels entry level category manager former Head of Tower ex CPO This team successfully delivered 325M cost savings in 2020 at a fully loaded cost of 700K to LSEG a return of 461Between 20192021  Global Head of Outsourcing Professional Services and Contingent Labour for LSEG As part of post merger integration planning months before Deal Close proactively and successfully lobbied senior Technology management to include Procurement in their consideration of developing the Target Operating Model for Group Technology Resulted in my team forming a working group with Technology which led to the creation of a vendor strategy initiating an RFI process which enabled the downselect of preferred vendors This allowed Technology to hit the ground running on Day One with clarity on which vendors they could work with under which frameworks and for what types of servicesSpecific supplier experience TCS Wipro Cognizant HCL Infosys Accenture Capgemini Exactpro
53,Negotiating with Top Tier Consulting and Professional Services Suppliers,Specific supplier experience Deloitte PwC EY KPMG Accenture McKinsey BCG Oliver Wyman Freshfields Clifford Chance DLA Piper Radiant LawBetween 20132016 as Category Manager for LSEG Delivered on all targeted vendor cost synergy savings in areas of responsibility this included the Big 4 and Freshfields Put in place a new commercial structure with the Big 4 to ensure they were all on common contract templates common rate cards and common discounting structures related to volume and no RFP discounts leading to cost savings of 15M on a baseline spend of 8M paBetween 20162019 as Head of Non IT for LSEG Sourced Big 4 support for our FTSE business to prepare them for their new regulatory framework requirements EU BMR Sourced Big 4 support to partner with Internal Audit on a multiyear cosource arrangement saving 180K Negotiated a new Commercial Framework with Clifford Chance leading to savings of 950K Worked with Tax on a riskreward contract with a Big 4 vendor which minimised a fixed payment and linked the majority of variable payment to a VAT reclaim exercise saving LSEG 149MBetween 20192021 as Head of Outsourcing  Professional Services for LSEG Led post merger planning strategy discussions with stakeholder groups across Technology Operations Corporate Functions and Business Divisions to identify and gain sign off to cost synergy plans delivered circa 20M of cost savings in the Business Consulting and Contingent Labour spend categories over the next three years  On behalf of Group CEO ran a sourcing process to select a Consultancy to initiate the Integration planning program in relation to the acquisition of Refinitiv McKinsey were selected at a cost of 14M with cost avoidance savings of 49M This was completed in three weeks with no stakeholder involvement due to high levels of confidentiality regarding the acquisition Following the appointment of our Group COO as Integration lead led the sourcing process to replace McKinsey with an Integration Delivery Partner Competing vendors included KPMG Oliver Wyman Accenture Capco KPMG were appointed at a cost of 20M in year 1 with potential cost up to 40M in 2021 resulting in a cost avoidance saving of over 15 vs existing Group level rates with the vendor Negotiated a fixed price risk  reward SoW with Freshfields for their Legal support on the Refinitiv acquisition This was a highly complex 18 month SoW with incredibly high stakes Helped negotiate the fixed cost down by 15M and put more commercial onus on Freshfields to help deliver a successful acquisition within timelines that the Group had set
54,"Managed Services Strategy for HR, Legal, and Finance",Between 2016  2019 as Head of Non IT for LSEG Set up an Outsourced Managed Legal Service saving over 400K whilst allowing inhouse Legal to focus on higher value activity and accessing best in class Legal tools and technology Sourced Big 4 support to partner with Internal Audit on a multiyear cosource arrangement saving 180K Renewed the contractor workforce MSP agreement by repositioning the vendor as a partner to LSEG as opposed to a process enabler The MSP moved from just running a business process to a role where they brought market insight and partnered with LSEG to drive cost efficiency with skin in the game for successful delivery This led to cost savings of 38M Led the setting up of various Finance and HR Managed Services  Global tax returns in non core countries with RSM outsourcing of annual reporting presentation creation outsourcing of REMCO appointment of pensions auditor Led the sourcing and renewal strategies for a range of FM contracts  catering security cleaningSpecific supplier experience Hays Randstad DLA Piper Radiant Law Deloitte EY RSM Grant Thornton CBRE JLL Mitie
55,ERP Systems Integrator Selection,In 2014 led the sourcing process for what was the companys largest vendor spend at that point the System Integrator role for the roll out of Oracle Financials globally leading to a cost avoidance saving of 11M on a project spend of 11MRelevant supplier experience PwC Capgemini Accenture TCS Wipro Cognizant HCL
56,Launching and Scaling a Procurement Function,Between 20162021 was part of the Procurement Leadership team CPO  3 FTE who were tasked with creating and scaling a Procurement function This involved putting in place policies procurement outsourcing infosec etc business processes operating model P2P and S2C technology As LSEG was highly acquisitive during this period the role involved almost annual reset and reassessments of our set up as we would often bolt on new businesses with new Procurement teams new geographies new Categories of spend etcOver this period the team scaled from 8 FTE in London to 80 FTE in North America Europe and Asia from 250M spend under management to 4BN spend under management LSEG grew from 4000 employees in 3 European countries trading at 5 per share to 25000 employees in 65 countries trading at 80 per share
57,Creating a Unified Global Procurement Function,Between 20222024  Global Director of Supplier Management at Randstad the worlds largest HR Total Talent Solutions company with 40000 employees globally Responsible for 5BN per annum of SoW and staffing agency spend for the provision of MSP RPO and SoW outsourced services to Randstads portfolio of over 150 clients Brought in to create a global function taking on three regional teams comprising 40 FTE and leading them through an organisational transformation  Successfully brought the three teams together under a single operating model repositioning the team to be better aligned to client expectations and internal business function structures  Focusing more team capacity on front office  client facing activity compared to historical back office focus During the two year period monthly team feedback resulted in best in class scores compared to the Group at a time of significant disruption and change for my team
58,Comprehensive Workforce Management Strategy,Between 2019  2021 at LSEG Recognised a need for a holistic approach to working with Technology and Operations on how they use third party options to deliver run and change Created a new Tower and team responsible for IT Outsourcing IT Services BPO Professional Services Contingent Labour Allowed my team to elevate their status and impact in the eyes of the Group CIO and COO as they could work end to end across the full spectrum of talent services and resourcing options available to these senior budget holders Allowed my team to be far more strategically engaged and influential in how these very large functions with large budgets were set up efficiently to get the best outputs and value from their talent spendBetween 2021  2022 as an SME for Accenture Worked with multiple clients Procurement teams advising them on the benefits of creating a single super category of spend covering all people and services spend and how to implement this
